lat,long,altitude,pix
19.5, -83.75,-3851,#093A4B
19.5, -83.25,-3369,#154A5A
19.5, -82.70,-2984,#164B5D
19.5, -82.20,-4351,#0B4052
19.5, -81.65,-3082,#154E5F
19.5, -81.10,-2470,#154D5E
19.5, -80.60,-2042,#26616F
19.5, -80.05,-2291,#235764
19.5, -79.55,-4031,#052B38
19.5, -79.00,-4047,#09313B
19.5, -78.45,-5164,#001016
19.5, -77.95,-5482,#012E41
19.5, -77.40,-5496,#02293A
19.5, -76.90,-5754,#032437
19.5, -76.35,-5703,#003044
19.5, -75.80,-5237,#002A3C
19.5, -75.30,-4722,#00364B
19.5, -74.75,-3400,#0E475A
19.5, -74.25,-1930,#1B5A6B
19.5, -73.70,-1378,#246271
19.5, -73.15,-1870,#14434D
19.5, -72.65,   66,#A38F76
19.5, -72.10,  487,#545128
19.5, -71.60,  214,#616E39
19.5, -71.05,  178,#646138
19.5, -70.50,  811,#324D18
19.5, -70.00,   19,#4E5B2D
19.5, -69.45,-1892,#175260
19.5, -68.90,-3543,#093C4F
19.5, -68.40,-6862,#032842
19.5, -67.85,-7423,#02213D
19.5, -67.35,-7545,#001C34
19.5, -66.80,-7832,#001C34
19.5, -66.25,-7560,#05203D
19.5, -65.75,-6904,#002337
19.5, -65.20,-6802,#002034
19.5, -64.70,-6622,#032843
19.5, -64.15,-6075,#01273A
19.5, -63.60,-6223,#012138
19.5, -63.10,-6493,#01253B
19.5, -62.55,-7326,#001D32
19.5, -62.05,-6179,#012130
19.5, -61.50,-5440,#03293E
19.5, -60.95,-5097,#022D3E
19.5, -60.45,-5164,#002E42
19.5, -59.90,-4925,#002C3E
19.5, -59.40,-4989,#003245
19.5, -58.85,-5064,#003044
19.5, -58.30,-5544,#002D42
19.5, -57.80,-5682,#002E42
19.5, -57.25,-5668,#012B41
19.5, -56.75,-5735,#002838
19.5, -56.20,-5779,#002538
19.5, -55.65,-5070,#04273A
19.5, -55.15,-4872,#033445
19.5, -54.60,-4970,#003044
19.5, -54.10,-5109,#043448
19.5, -53.55,-4983,#002E40
19.5, -53.00,-5449,#002538
19.5, -52.50,-5653,#01273C
19.5, -51.95,-4967,#00374B
19.5, -51.45,-5281,#002F43
19.5, -50.90,-4699,#01394A
19.5, -50.35,-4187,#0D4053
19.5, -49.85,-4748,#012F46
19.5, -49.30,-4168,#013B51
19.5, -48.80,-4561,#002A33
19.5, -48.25,-3891,#073243
19.5, -47.70,-4068,#0C4153
19.5, -47.20,-3472,#124558
19.5, -46.65,-3011,#0F3D4C
19.5, -46.15,-2801,#124852
19.5, -45.60,-2595,#0D353F
19.5, -45.05,-3612,#0E3E4A
19.5, -44.55,-3453,#114251
19.5, -44.00,-3943,#134455
19.5, -43.50,-4143,#0D4053
19.5, -42.95,-4114,#0B3A4A
19.5, -42.40,-4486,#02394D
19.5, -41.90,-4475,#013241
19.5, -41.35,-4914,#013449
19.5, -40.80,-4619,#003647
19.5, -40.30,-5149,#002E42
19.5, -39.75,-5445,#013042
19.5, -39.25,-4741,#003345
19.5, -38.70,-5147,#012837
19.5, -38.15,-5910,#023047
19.5, -37.65,-6030,#012837
19.5, -37.10,-4490,#003846
19.5, -36.60,-5291,#002F43
19.5, -36.05,-5583,#012E45
19.5, -35.50,-5739,#012A3E
19.5, -35.00,-5515,#002E42
19.5, -34.45,-5125,#013044
19.5, -33.95,-4892,#003044
19.5, -33.40,-5188,#002C40
19.5, -32.85,-4803,#002A3A
19.5, -32.35,-4639,#002A42
19.5, -31.80,-5147,#003142
19.5, -31.30,-4785,#013145
19.5, -30.75,-4898,#003547
19.5, -30.20,-4807,#003346
19.5, -29.70,-4821,#002E42
19.5, -29.15,-4647,#01354A
19.5, -28.65,-4766,#043448
19.5, -28.10,-4651,#013447
19.5, -27.55,-4738,#003449
19.5, -27.05,-4664,#013648
19.5, -26.50,-4557,#01384C
19.5, -26.00,-4423,#013A4D
19.5, -25.45,-4324,#0A3A4E
19.5, -24.90,-4239,#0C3C50
19.5, -24.40,-4212,#0C3F52
19.5, -23.85,-4140,#0B3E51
19.5, -23.35,-4061,#0C3F52
19.5, -22.80,-3909,#0D4053
19.5, -22.25,-3714,#0E4355
19.5, -21.75,-3599,#0F4456
19.5, -21.20,-3504,#134659
19.5, -20.70,-3490,#0E4355
19.5, -20.15,-3390,#134659
19.5, -19.60,-3300,#13485A
19.5, -19.10,-3035,#174F5E
19.5, -18.55,-2674,#18505F
19.5, -18.05,-2386,#1D5564
19.5, -17.50,-1732,#1F5A6A
19.5, -16.95,  -96,#2C6F7F
19.5, -16.45,   -1,#31502E
19.5, -15.90,   45,#FCDBA5
19.5, -15.40,   43,#F5C99C
19.5, -14.85,   57,#DFB17D
19.5, -14.30,  107,#DBAB7B
19.5, -13.80,   86,#F9D49F
19.5, -13.25,   88,#FADBA4
19.5, -12.70,  175,#E9C48F
19.5, -12.20,  213,#EFC688
19.5, -11.65,  216,#FFE5AF
19.5, -11.15,  343,#FDE4AB
19.5, -10.60,  390,#FEEDC1
19.5, -10.05,  399,#FFE1AD
19.5,  -9.55,  391,#FEDEA3
19.5,  -9.00,  372,#FFDCA2
19.5,  -8.50,  366,#FFDEA8
19.5,  -7.95,  360,#FEDFA8
19.5,  -7.40,  333,#FFDFAC
19.5,  -6.90,  325,#FFE5B5
19.5,  -6.35,  325,#FEE6B6
19.5,  -5.85,  319,#FFE8B8
19.5,  -5.30,  316,#FFEABB
19.5,  -4.75,  300,#FFEBBC
19.5,  -4.25,  285,#FFEBBE
19.5,  -3.70,  280,#FFEEC8
19.5,  -3.20,  272,#FFEFC7
19.5,  -2.65,  281,#FDEBBB
19.5,  -2.10,  289,#FFE3B1
19.5,  -1.60,  333,#FEDC9F
19.5,  -1.05,  310,#F8D699
19.5,  -0.55,  506,#C4A07E
19.5,   0.00,  434,#F3CB97
19.5,   0.55,  386,#DEBE8B
19.5,   1.05,  503,#D1AA83
19.5,   1.60,  628,#E8C696
