lat,long,altitude,pix
-19.5, -20.70,-5059,#002E3E
-19.5, -20.15,-4499,#003748
-19.5, -19.60,-4990,#033347
-19.5, -19.10,-4741,#002F40
-19.5, -18.55,-4539,#003647
-19.5, -18.05,-4515,#013648
-19.5, -17.50,-4369,#003647
-19.5, -16.95,-3888,#0A3847
-19.5, -16.45,-3868,#0B3E51
-19.5, -15.90,-3935,#0D4053
-19.5, -15.40,-3976,#0F4456
-19.5, -14.85,-3632,#0F4456
-19.5, -14.30,-3520,#0E3F50
-19.5, -13.80,-3585,#0E4152
-19.5, -13.25,-2845,#174C5E
-19.5, -12.70,-3033,#144758
-19.5, -12.20,-2943,#13475D
-19.5, -11.65,-3203,#16495C
-19.5, -11.15,-2873,#0B3946
-19.5, -10.60,-3407,#104859
-19.5, -10.05,-3900,#0A3949
-19.5,  -9.55,-3796,#0E4355
-19.5,  -9.00,-4085,#0C3F52
-19.5,  -8.50,-4094,#0B3C4D
-19.5,  -7.95,-4490,#003547
-19.5,  -7.40,-4624,#003547
-19.5,  -6.90,-4586,#003A4C
-19.5,  -6.35,-3881,#063745
-19.5,  -5.85,-4573,#003547
-19.5,  -5.30,-5083,#00293C
-19.5,  -4.75,-4914,#013044
-19.5,  -4.25,-5045,#003049
-19.5,  -3.70,-5097,#002F43
-19.5,  -3.20,-4551,#02364B
-19.5,  -2.65,-5210,#023143
-19.5,  -2.10,-5030,#003448
-19.5,  -1.60,-4852,#003245
-19.5,  -1.05,-5011,#002C3C
-19.5,  -0.55,-4863,#013447
-19.5,   0.00,-4891,#012E41
-19.5,   0.55,-5522,#022C3A
-19.5,   1.05,-5523,#012839
-19.5,   1.60,-5589,#013044
-19.5,   2.10,-5601,#002F43
-19.5,   2.65,-5621,#002D41
-19.5,   3.20,-5316,#002E42
-19.5,   3.70,-5506,#002F43
-19.5,   4.25,-5417,#002E42
-19.5,   4.75,-5250,#013044
-19.5,   5.30,-5047,#013145
-19.5,   5.85,-5223,#002F43
-19.5,   6.35,-5070,#023145
-19.5,   6.90,-5115,#002F43
-19.5,   7.40,-5243,#002D44
-19.5,   7.95,-5000,#003144
-19.5,   8.50,-4706,#013648
-19.5,   9.00,-4657,#003346
-19.5,   9.55,-2440,#1A5565
-19.5,  10.05,-1123,#215D68
-19.5,  10.60,-1214,#22626E
-19.5,  11.15,-1004,#276675
-19.5,  11.65, -398,#2D6F7D
-19.5,  12.20, -223,#2D717E
-19.5,  12.70,  -65,#337281
-19.5,  13.25,  644,#B7916C
-19.5,  13.80,  906,#B7916D
-19.5,  14.30, 1138,#9C7B58
-19.5,  14.85, 1294,#B49360
-19.5,  15.40, 1324,#83714B
-19.5,  15.90, 1185,#A38B71
-19.5,  16.45, 1206,#9A7F62
-19.5,  16.95, 1304,#856941
-19.5,  17.50, 1422,#8F7042
-19.5,  18.05, 1479,#907142
-19.5,  18.55, 1248,#8C7853
-19.5,  19.10, 1201,#9A7644
-19.5,  19.60, 1216,#94774D
-19.5,  20.15, 1204,#9B7F57
-19.5,  20.70, 1165,#8E7145
-19.5,  21.20, 1073,#836944
-19.5,  21.75,  986,#8C754C
-19.5,  22.25,  962,#AA9270
-19.5,  22.80,  960,#655B38
-19.5,  23.35,  950,#635227
-19.5,  23.85,  940,#A58D69
-19.5,  24.40,  959,#8A7556
-19.5,  24.90,  953,#8F7B56
-19.5,  25.45,  996,#89734A
-19.5,  26.00,  963,#846D4D
-19.5,  26.50,  995,#8E724B
-19.5,  27.05,  992,#8F764D
-19.5,  27.55, 1035,#8C7549
-19.5,  28.10, 1061,#7E6338
-19.5,  28.65, 1211,#795D2D
-19.5,  29.15, 1296,#817042
-19.5,  29.70, 1357,#735E2F
-19.5,  30.20, 1376,#65572A
-19.5,  30.75, 1432,#786231
-19.5,  31.30, 1293,#4E471B
-19.5,  31.80,  967,#6F5D2F
-19.5,  32.35,  874,#69663B
-19.5,  32.85, 1573,#1F2203
-19.5,  33.40,  514,#505221
-19.5,  33.95,  177,#404823
-19.5,  34.45,    7,#5B4F37
-19.5,  35.00,   48,#3E401B
-19.5,  35.50,  -13,#2C656E
-19.5,  36.05,  -32,#2E727F
-19.5,  36.60,  -60,#2F717F
-19.5,  37.10,-1149,#225C6A
-19.5,  37.65,-1754,#1F5967
-19.5,  38.15,-2071,#1C5664
-19.5,  38.70,-2350,#164B5B
-19.5,  39.25,-2642,#195160
-19.5,  39.75,-2795,#195160
-19.5,  40.30,-2590,#154D5C
-19.5,  40.80,-2655,#175061
-19.5,  41.35,-2967,#144355
-19.5,  41.90,-2779,#134755
-19.5,  42.40,-2111,#1B5968
-19.5,  42.95,-1907,#1E5768
