lat,long,altitude,pix
-21.5,  86.25,-4366,#0B4352
-21.5,  86.80,-4091,#114656
-21.5,  87.30,-3859,#175061
-21.5,  87.85,-3630,#134858
-21.5,  88.40,-4142,#0D3D4B
-21.5,  88.95,-4309,#0A394B
-21.5,  89.45,-4980,#002C40
-21.5,  90.00,-4683,#023249
-21.5,  90.55,-4941,#003245
-21.5,  91.05,-4824,#003043
-21.5,  91.60,-4794,#00384A
-21.5,  92.15,-5099,#003046
-21.5,  92.70,-4880,#003044
-21.5,  93.20,-5261,#003245
-21.5,  93.75,-5085,#002F43
-21.5,  94.30,-5108,#012E41
-21.5,  94.85,-5148,#002F43
-21.5,  95.35,-5029,#013145
-21.5,  95.90,-5137,#013044
-21.5,  96.45,-5325,#003044
-21.5,  97.00,-5377,#002F43
-21.5,  97.50,-5662,#002C41
-21.5,  98.05,-5904,#002B40
-21.5,  98.60,-5483,#013044
-21.5,  99.15,-5653,#002E42
-21.5,  99.65,-5986,#002738
-21.5, 100.20,-5992,#012A40
-21.5, 100.75,-5590,#002C41
-21.5, 101.30,-5778,#002C41
-21.5, 101.80,-5728,#012B43
-21.5, 102.35,-5728,#002F43
-21.5, 102.90,-5017,#023248
-21.5, 103.45,-3955,#0B3E4F
-21.5, 103.95,-2949,#154D5E
-21.5, 104.50,-3036,#174C5C
-21.5, 105.05,-3216,#134452
-21.5, 105.60,-4006,#013145
-21.5, 106.10,-4118,#013147
-21.5, 106.65,-4929,#002F43
-21.5, 107.20,-4445,#00394D
-21.5, 107.75,-3987,#0D4156
-21.5, 108.25,-4517,#013243
-21.5, 108.80,-3527,#063441
-21.5, 109.35,-5055,#023246
-21.5, 109.90,-5231,#002E42
-21.5, 110.40,-5024,#013145
-21.5, 110.95,-5057,#003044
-21.5, 111.50,-5058,#013044
-21.5, 112.05,-4551,#012C3D
-21.5, 112.55,-3581,#123C4C
-21.5, 113.10,-1454,#256473
-21.5, 113.65,-1077,#246372
-21.5, 114.20, -175,#2C727E
-21.5, 114.70,  -41,#1E4A57
-21.5, 115.25,  -13,#1D3A35
-21.5, 115.80,   33,#915F3A
-21.5, 116.35,  202,#9D7248
-21.5, 116.85,  247,#9A6941
-21.5, 117.40,  350,#986434
-21.5, 117.95,  304,#8F6A3D
-21.5, 118.50,  184,#9A7751
-21.5, 119.00,  269,#A27146
-21.5, 119.55,  304,#AD7E48
-21.5, 120.10,  393,#9C6C44
-21.5, 120.65,  343,#C7925E
-21.5, 121.15,  262,#C08E5D
-21.5, 121.70,  256,#AD7748
-21.5, 122.25,  250,#AE7B4E
-21.5, 122.80,  313,#B27D4B
-21.5, 123.30,  285,#AB7747
-21.5, 123.85,  277,#AE7E4E
-21.5, 124.40,  269,#A57A57
-21.5, 124.95,  303,#A87444
-21.5, 125.45,  289,#AE7947
-21.5, 126.00,  341,#B07B49
-21.5, 126.55,  375,#B77F4C
-21.5, 127.05,  439,#B17D4D
-21.5, 127.60,  377,#AF7746
-21.5, 128.15,  414,#A57046
-21.5, 128.70,  332,#A78255
-21.5, 129.20,  408,#AD7846
-21.5, 129.75,  429,#9E6F45
-21.5, 130.30,  471,#A47847
-21.5, 130.85,  496,#A17143
-21.5, 131.35,  478,#AA7241
-21.5, 131.90,  511,#B47844
-21.5, 132.45,  515,#B37F4D
-21.5, 133.00,  519,#A57243
-21.5, 133.50,  450,#8E6843
-21.5, 134.05,  603,#9D7448
-21.5, 134.60,  427,#B08050
-21.5, 135.15,  401,#92653B
-21.5, 135.65,  398,#A97C52
-21.5, 136.20,  361,#B7865B
-21.5, 136.75,  265,#AC804F
-21.5, 137.30,  242,#B4885B
-21.5, 137.80,  208,#BE9261
-21.5, 138.35,  202,#BE915A
-21.5, 138.90,  235,#BC8856
-21.5, 139.45,  386,#A78558
-21.5, 139.95,  313,#A47547
-21.5, 140.50,  376,#AD885B
-21.5, 141.05,  213,#B59467
-21.5, 141.60,  219,#B39161
-21.5, 142.10,  220,#B2976A
-21.5, 142.65,  196,#A89165
-21.5, 143.20,  234,#B99D75
-21.5, 143.75,  295,#AA8E66
-21.5, 144.25,  274,#998155
-21.5, 144.80,  321,#B49368
-21.5, 145.35,  308,#A1835D
-21.5, 145.90,  308,#A68B60
-21.5, 146.40,  257,#866B40
-21.5, 146.95,  181,#6D6034
-21.5, 147.50,  243,#9C8565
-21.5, 148.05,  413,#675F4A
-21.5, 148.55,  258,#766E5B
-21.5, 149.10,  285,#363D1E
-21.5, 149.65,   -5,#1E546C
-21.5, 150.20,   -5,#284861
-21.5, 150.70,  -58,#2D3542
-21.5, 151.25,  -16,#153446
-21.5, 151.80,   -5,#1D3243
-21.5, 152.35,   -5,#17263B
-21.5, 152.85, -206,#2C707D
-21.5, 153.40, -292,#296D7A
-21.5, 153.95,-1404,#185864
-21.5, 154.50,-2115,#185260
-21.5, 155.00,-3207,#144758
-21.5, 155.55,-3085,#104557
-21.5, 156.10,-1490,#1B5E6F
-21.5, 156.65,-1398,#226472
-21.5, 157.15,-1244,#235E6C
-21.5, 157.70,-1053,#266672
-21.5, 158.25,-1315,#215666
-21.5, 158.80,-1860,#0F3741
-21.5, 159.30, -102,#347281
-21.5, 159.85,-2170,#1C5566
-21.5, 160.40,-2030,#1F5A6A
-21.5, 160.95,-1035,#246470
-21.5, 161.45,-1318,#276270
-21.5, 162.00,-1457,#215B69
-21.5, 162.55, -796,#226170
-21.5, 163.05,-2690,#154655
-21.5, 163.60,-3493,#13485A
-21.5, 164.15,-3636,#0E4355
-21.5, 164.70,-3065,#184C5A
-21.5, 165.20,  -11,#34745A
-21.5, 165.75,  195,#4B5F3C
-21.5, 166.30,  -69,#28646F
-21.5, 166.85,-2296,#1D5667
-21.5, 167.35,-2118,#1D5667
-21.5, 167.90,   74,#39532C
-21.5, 168.45,-1472,#236573
-21.5, 169.00,-4989,#052C3B
-21.5, 169.50,-2698,#184B5E
-21.5, 170.05,-2505,#11414D
-21.5, 170.60,-1876,#215966
-21.5, 171.15,-2586,#1A4B5A
-21.5, 171.65,-2578,#174B56
-21.5, 172.20,-2446,#215261
-21.5, 172.75,-2850,#124C58
-21.5, 173.30,-3070,#174A5B
-21.5, 173.80,-3107,#164A58
-21.5, 174.35,-3190,#0B3948
-21.5, 174.90,-2430,#1A586D
-21.5, 175.45,-2272,#1B5364
-21.5, 175.95,-2336,#0C4550
-21.5, 176.50,-3203,#124151
-21.5, 177.05,-3589,#0E4657
-21.5, 177.60,-3864,#0F4051
-21.5, 178.10,-4103,#0C3B4F
-21.5, 178.65,-3995,#093A49
-21.5, 179.20,-3460,#0F404F
-21.5, 179.75,-3779,#093C4D
-21.0,-179.75,-2324,#205F6E
-21.0,-179.20,-1302,#1F6370
-21.0,-178.65, -305,#245F6F
-21.0,-178.15,-1663,#1A5158
-21.0,-177.60,-2703,#16525C
-21.0,-177.05,-1261,#194858
-21.0,-176.50,-2199,#184D5F
-21.0,-176.00,-2353,#1C5465
-21.0,-175.45,-1812,#185568
-21.0,-174.90, -640,#215B67
-21.0,-174.40,-2106,#1C4B55
-21.0,-173.85,-5992,#031D2E
-21.0,-173.30,-7624,#001727
-21.0,-172.80,-6021,#002B3E
-21.0,-172.25,-5444,#002D44
-21.0,-171.70,-5642,#002B40
-21.0,-171.15,-5648,#002D42
-21.0,-170.65,-5567,#002D41
-21.0,-170.10,-5595,#002F43
-21.0,-169.55,-5285,#002E42
-21.0,-169.05,-5369,#002E42
-21.0,-168.50,-5678,#002F43
-21.0,-167.95,-5508,#002F43
-21.0,-167.45,-5447,#002E42
-21.0,-166.90,-5300,#013044
-21.0,-166.35,-5167,#012C3D
-21.0,-165.80,-5231,#002E42
-21.0,-165.30,-4965,#012F3F
-21.0,-164.75,-5609,#022C44
-21.0,-164.20,-5400,#022430
-21.0,-163.70,-5115,#002A40
-21.0,-163.15,-4569,#003549
-21.0,-162.60,-5112,#002E43
-21.0,-162.10,-4570,#02364B
-21.0,-161.55,-4720,#013145
-21.0,-161.00,-4798,#003647
-21.0,-160.50,-4800,#003546
-21.0,-159.95,-4059,#083F53
-21.0,-159.40,-4584,#003748
-21.0,-158.85,-4854,#003345
-21.0,-158.35,-4738,#013447
-21.0,-157.80,-4902,#013044
-21.0,-157.25,-4757,#00374A
-21.0,-156.75,-4131,#083B4E
-21.0,-156.20,-4904,#003245
-21.0,-155.65,-4559,#03384A
-21.0,-155.15,-4684,#003346
-21.0,-154.60,-4835,#012C3F
-21.0,-154.05,-4609,#003346
-21.0,-153.50,-4201,#063B4D
-21.0,-153.00,-4640,#003748
-21.0,-152.45,-4198,#033A4F
-21.0,-151.90,-4545,#003647
-21.0,-151.40,-4264,#003245
-21.0,-150.85,-4667,#00222E
-21.0,-150.30,-4590,#023145
-21.0,-149.80,-3667,#003448
-21.0,-149.25,-4353,#003244
-21.0,-148.70,-4767,#003043
-21.0,-148.15,-4655,#003547
-21.0,-147.65,-4709,#002F43
-21.0,-147.10,-4660,#003446
-21.0,-146.55,-4361,#003446
-21.0,-146.05,-4698,#003446
-21.0,-145.50,-4635,#03364B
-21.0,-144.95,-4560,#023E56
-21.0,-144.45,-4282,#003043
-21.0,-143.90,-4425,#003346
-21.0,-143.35,-4343,#003748
-21.0,-142.80,-4384,#04374A
-21.0,-142.30,-4348,#003849
-21.0,-141.75,-4460,#013648
-21.0,-141.20,-4694,#013648
-21.0,-140.70,-4305,#06364A
-21.0,-140.15,-4182,#03384A
-21.0,-139.60,-4505,#02394D
-21.0,-139.10,-4456,#003446
-21.0,-138.55,-2889,#114552
-21.0,-138.00,-4419,#00394D
-21.0,-137.45,-1618,#1E5A64
-21.0,-136.95,-1849,#215E71
-21.0,-136.40,-4473,#053E51
-21.0,-135.85,-4156,#06394C
-21.0,-135.35,-4094,#00323A
-21.0,-134.80,-3987,#0F3E4E
-21.0,-134.25,-3936,#0C3F52
-21.0,-133.75,-3426,#0F465B
-21.0,-133.20,-4042,#0C3748
-21.0,-132.65,-3870,#094255
-21.0,-132.10,-4275,#053647
-21.0,-131.60,-3949,#0C4153
-21.0,-131.05,-3883,#0C3F52
-21.0,-130.50,-4265,#043546
-21.0,-130.00,-2980,#154A58
-21.0,-129.45,-4436,#09364B
-21.0,-128.90,-4399,#003849
-21.0,-128.40,-3925,#0C3B4F
-21.0,-127.85,-4170,#073C4E
-21.0,-127.30,-3658,#0A4253
-21.0,-126.80,-3942,#0D4053
-21.0,-126.25,-3924,#0B4052
-21.0,-125.70,-3990,#0B4354
-21.0,-125.15,-3961,#0F4051
-21.0,-124.65,-4059,#0A3D50
-21.0,-124.10,-3986,#104054
-21.0,-123.55,-3457,#114658
-21.0,-123.05,-3470,#13485A
-21.0,-122.50,-3506,#0F4758
-21.0,-121.95,-3640,#104557
-21.0,-121.45,-3124,#144C5B
-21.0,-120.90,-3205,#154A5C
-21.0,-120.35,-3475,#0F4456
-21.0,-119.80,-3581,#0F4253
-21.0,-119.30,-3577,#0C3B4B
-21.0,-118.75,-3348,#0F4456
-21.0,-118.20,-3369,#15485B
