lang,co,link,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,sum,tot
sn,Cyprus,https://sn.wikipedia.org/wiki/Saipurasi, 0,  0,  0,   0,  0, 0,   3,  1,   0, 0, 0,   4,  5714
sd,Cyprus,https://sd.wikipedia.org/wiki/%D9%82%D8%A8%D8%B1%D8%B3, 0,  0,  3,  11, 20, 1,  18, 32,   2, 0, 0,  87, 18041
si,Cyprus,https://si.wikipedia.org/wiki/%E0%B7%83%E0%B6%BA%E0%B7%92%E0%B6%B4%E0%B7%8A%E2%80%8D%E0%B6%BB%E0%B7%83%E0%B7%8A, 0,  0,  0,   5,  1, 0,   2,  3,   1, 0, 0,  12,  5929
sk,Cyprus,https://sk.wikipedia.org/wiki/Cyprus, 0,  0,  3,   7, 12, 0,   6,  7,  10, 0, 0,  45, 37367
sl,Cyprus,https://sl.wikipedia.org/wiki/Ciper, 0,  1,  0,  21, 11, 0,  11, 55,  20, 0, 0, 119, 48279
so,Cyprus,https://so.wikipedia.org/wiki/Jasiirada_Qabrus, 0,  0,  1,   4, 10, 0,  17,  8,   0, 0, 0,  40,  9936
es,Cyprus,https://es.wikipedia.org/wiki/Chipre, 0,  3, 13, 107, 55, 0,  54,108,  29, 1, 0, 370,112770
su,Cyprus,https://su.wikipedia.org/wiki/Siprus, 0,  0,  0,   4,  7, 0,   3,  6,   1, 0, 0,  21, 10622
sw,Cyprus,https://sw.wikipedia.org/wiki/Kupro, 0,  0,  2,   2,  6, 0,  11, 12,   4, 0, 0,  37, 14162
sv,Cyprus,https://sv.wikipedia.org/wiki/Cypern, 0,  0,  2,  12,  9, 0,  18, 31,   5, 0, 0,  77, 36981
tg,Cyprus,https://tg.wikipedia.org/wiki/%D2%9A%D0%B8%D0%B1%D1%80%D0%B8%D1%81, 0,  0,  0,   1,  3, 0,   5,  2,   3, 0, 0,  14,  7955
ta,Cyprus,https://ta.wikipedia.org/wiki/%E0%AE%9A%E0%AF%88%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BF%E0%AE%B0%E0%AE%9A%E0%AF%81, 0,  0,  0,   0,  0, 0,   5, 10,   0, 0, 0,  15, 12156
te,Cyprus,https://te.wikipedia.org/wiki/%E0%B0%B8%E0%B1%88%E0%B0%AA%E0%B1%8D%E0%B0%B0%E0%B0%B8%E0%B1%8D, 0,  0,  0,  66, 10, 0,  22,  8,   2, 0, 0, 108, 86296
th,Cyprus,https://th.wikipedia.org/wiki/%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B9%84%E0%B8%8B%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%AA, 0,  0, 12,  77, 76, 0,  85,118,   6, 1, 0, 375, 21686
